Language Code,mBART-25 BLEU,mBART-50 BLEU
es_XX,1.9170123948500557,18.528406391287252
et_EE,2.7390864480509722,19.95450168761991
fa_IR,Not supported,4.033346138088128
fi_FI,1.293019842216008,16.90438058691284
fr_XX,0.5720796670993606,35.8544132274083
gl_ES,Not supported,12.16875679752261
gu_IN,1.9854178646697267,5.975460962439821
he_IL,Not supported,21.847135643089587
hi_IN,0.30117474353418316,19.881976463198093
hr_HR,Not supported,
id_ID,Not supported,25.437755389149856
it_IT,1.9518416125522906,17.707897714954726
ja_XX,1.1223693222505036,3.789239272138922
ka_GE,Not supported,0.902560833784762
kk_KZ,0.04286689736334736,1.3166989998801175
km_KH,Not supported,15.203753125215293
ko_KR,0.26437686563015356,2.303400619846468
lt_LT,2.9991745989029757,26.976773130462355
lv_LV,1.477991891578789,28.93076394635926
mk_MK,Not supported,15.235382775240177
ml_IN,Not supported,3.451887852552121
mn_MN,Not supported,
mr_IN,Not supported,4.9671287519469
my_MM,0.7680870984675884,2.248506821721585
ne_NP,2.290956043521957,51.14040575008766
nl_XX,0.9778841468005373,21.239746328826463
pl_PL,Not supported,13.947885319659441
ps_AF,Not supported,11.338415101970051
pt_XX,Not supported,29.906962122859138
ro_RO,1.7152611505801763,23.279935508119205
ru_RU,4.3549317808052255,21.53425942123276
si_LK,1.1471010873547798,7.604689974436877
sl_SI,Not supported,18.45820382771432
sv_SE,Not supported,21.97729329256566
ta_IN,Not supported,8.758792649317419
te_IN,Not supported,40.72279741636468
th_TH,Not supported,0.22661692065508954
tr_TR,1.26466393897143,14.897402094882118
uk_UA,Not supported,9.313215518283778
ur_PK,Not supported,7.096077339275633
vi_VN,2.336636474905221,16.539828672486383
xh_ZA,Not supported,2.390101654288326
zh_CN,0.570099941799483,1.3740757918255706
